%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
90219000000,0,90218000000,Left-Wheel,-0.000389028709868,0.00952025801417,0.0151188101438,0.999840304711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927537888728,0.00170860445855,0.000489552270157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.186683722485,-0.00480178472698,9.79821888006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90319000000,1,90318000000,Left-Wheel,-0.000389154481235,0.00952956741692,0.0151452195761,0.999839816284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0092755352761,0.00170838762686,0.000489240210026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.186866293381,-0.00479654975022,9.79821538257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90419000000,2,90418000000,Left-Wheel,-0.00038928089641,0.00953887478386,0.0151716270392,0.999839327123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927569385595,0.001708173861,0.000488927198133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.187048824498,-0.00479132045215,9.79821188521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90519000000,3,90518000000,Left-Wheel,-0.00038940795563,0.00954818014203,0.0151980326628,0.999838837224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0092758541561,0.00170796399976,0.000488613543062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.187231316457,-0.00478609672466,9.79820838801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90619000000,4,90618000000,Left-Wheel,-0.000389535659446,0.00955748351924,0.0152244366018,0.999838346585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927601570799,0.00170775885313,0.000488299556665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.187413769887,-0.00478087854895,9.79820489095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90719000000,5,90718000000,Left-Wheel,-0.000389664008722,0.00956678494387,0.0152508390359,0.999837855203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927617804057,0.00170755919788,0.000487985553257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.187596185429,-0.00477566584538,9.79820139407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90819000000,6,90818000000,Left-Wheel,-0.00038979300463,0.00957608444473,0.0152772401689,0.999837363075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927634068672,0.00170736577359,0.000487671848875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.187778563736,-0.00477045850907,9.79819789728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90919000000,7,90918000000,Left-Wheel,-0.000389922648648,0.00958538205088,0.0153036402276,0.999836870198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927650318177,0.00170717927866,0.000487358760292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.127072438129,0.498931589415,9.3174281758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91019000000,8,91018000000,Left-Wheel,-0.000390052942554,0.00959467779143,0.0153300394609,0.999836376567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927666507035,0.00170700036738,0.000487046604101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.188143211275,-0.00476005967606,9.79819090408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91118000000,9,91118000000,Left-Wheel,-0.000390183888416,0.00960397169537,0.0153564381388,0.999835882179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927682589771,0.00170682964513,0.000486735695848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.188325481819,-0.00475486798457,9.79818740754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
